xAxis.x,xAxis.y,yAxis.x,yAxis.y,zAxis.x,zAxis.y
19.2,0.0,19.2,0.0,19.2,0.0
19.400002,0.0,19.400002,0.0,19.400002,0.0
19.6,0.0,19.6,0.0,19.6,0.0
19.8,0.0,19.8,0.0,19.8,0.0
20.0,0.0,20.0,0.0,20.0,0.0
20.2,0.0,20.2,0.0,20.2,0.0
20.4,120.00001,20.4,120.00001,20.4,120.00001
20.6,120.00001,20.6,120.00001,20.6,120.00001
20.800001,120.00001,20.800001,120.00001,20.800001,120.00001
21.0,120.00001,21.0,120.00001,21.0,120.00001
21.199999,120.00001,21.199999,120.00001,21.199999,120.00001
21.4,120.00001,21.4,120.00001,21.4,120.00001
21.6,120.00001,21.6,120.00001,21.6,120.00001
21.8,120.00001,21.8,120.00001,21.8,120.00001
22.0,120.00001,22.0,120.00001,22.0,120.00001
22.2,120.00001,22.2,120.00001,22.2,120.00001
22.400002,120.00001,22.400002,120.00001,22.400002,120.00001
22.6,120.00001,22.6,120.00001,22.6,120.00001
22.8,120.00001,22.8,120.00001,22.8,120.00001
23.0,120.00001,23.0,120.00001,23.0,120.00001
23.199999,120.00001,23.199999,120.00001,23.199999,120.00001
23.4,120.00001,23.4,120.00001,23.4,120.00001
23.6,120.00001,23.6,120.00001,23.6,120.00001
23.800001,120.00001,23.800001,120.00001,23.800001,120.00001
24.0,-86.0,24.0,-36.8,24.0,-72.799995
24.2,-86.0,24.2,-36.8,24.2,-72.799995
24.4,-84.4,24.4,-36.8,24.4,-73.6
24.6,-83.200005,24.6,-35.2,24.6,-73.6
24.8,-81.2,24.8,-34.8,24.8,-73.2
25.0,-81.2,25.0,-34.4,25.0,-72.799995
25.2,-81.2,25.2,-34.4,25.2,-72.799995
25.400002,-80.4,25.400002,-34.4,25.400002,-73.2
25.6,-79.2,25.6,-34.4,25.6,-74.4
25.8,-78.4,25.8,-33.6,25.8,-75.2
26.0,-76.4,26.0,-33.199997,26.0,-74.8
26.199999,-76.4,26.199999,-33.199997,26.199999,-74.8
26.4,-75.2,26.4,-32.8,26.4,-74.0
26.6,-76.8,26.6,-32.0,26.6,-74.4
26.800001,-77.200005,26.800001,-34.0,26.800001,-74.8
27.000002,-77.600006,27.000002,-35.2,27.000002,-74.0
27.2,-77.600006,27.2,-35.2,27.2,-74.0
27.4,-78.0,27.4,-35.600002,27.4,-75.6
27.599998,-77.600006,27.599998,-34.0,27.599998,-77.600006
27.8,-76.4,27.8,-33.6,27.8,-77.600006
28.0,-76.4,28.0,-34.4,28.0,-76.8
28.2,-76.4,28.2,-34.4,28.2,-76.8
28.400002,-76.4,28.400002,-36.399998,28.400002,-76.4
28.600002,-76.4,28.600002,-36.0,28.600002,-77.600006
28.8,-76.4,28.8,-35.2,28.8,-78.4
29.0,-76.0,29.0,-35.600002,29.0,-78.799995
29.199999,-76.0,29.199999,-35.600002,29.199999,-78.799995
29.4,-75.2,29.4,-34.8,29.4,-80.0
29.6,-73.6,29.6,-34.8,29.6,-81.2
29.800001,-72.0,29.800001,-35.2,29.800001,-83.200005
30.000002,-71.200005,30.000002,-34.8,30.000002,-84.0
30.199999,-71.200005,30.199999,-34.8,30.199999,-84.0
30.4,-70.0,30.4,-34.0,30.4,-82.4
30.599998,-67.6,30.599998,-34.4,30.599998,-82.4
30.8,-65.6,30.8,-35.2,30.8,-82.8
31.0,-64.0,31.0,-35.2,31.0,-82.0
31.2,-64.0,31.2,-35.2,31.2,-82.0
31.400002,-64.4,31.400002,-35.2,31.400002,-82.4
31.600002,-63.6,31.600002,-36.399998,31.600002,-83.200005
31.8,-62.800003,31.8,-37.6,31.8,-84.799995
32.0,-62.4,32.0,-38.4,32.0,-84.0
