xAxis.x,xAxis.y,yAxis.x,yAxis.y,zAxis.x,zAxis.y
69.0,-75.07331,69.0,-56.304985,69.0,-67.25318
69.6,-75.46432,69.6,-56.304985,69.6,-67.05768
70.2,-75.65982,70.2,-56.10948,70.2,-66.47117
70.8,-75.65982,70.8,-56.10948,70.8,-66.47117
71.4,-75.65982,71.4,-55.91398,71.4,-66.66667
72.0,-75.07331,72.0,-56.10948,72.0,-67.25318
72.6,-75.07331,72.6,-56.10948,72.6,-67.25318
73.200005,-75.46432,73.200005,-55.91398,73.200005,-67.05768
73.8,-75.268814,73.8,-55.718475,73.8,-66.47117
74.4,-75.268814,74.4,-55.718475,74.4,-66.47117
75.0,-75.268814,75.0,-56.10948,75.0,-66.862175
75.6,-75.46432,75.6,-56.10948,75.6,-66.862175
76.200005,-75.46432,76.200005,-56.10948,76.200005,-66.862175
76.8,-75.65982,76.8,-55.718475,76.8,-66.66667
77.399994,-75.85532,77.399994,-55.522972,77.399994,-66.862175
78.0,-75.46432,78.0,-55.91398,78.0,-67.05768
78.6,-75.268814,78.6,-56.10948,78.6,-67.448685
79.2,-74.682304,79.2,-56.50049,79.2,-67.64419
79.8,-74.2913,79.8,-57.086998,79.8,-68.035194
80.4,-74.095795,80.4,-57.673508,80.4,-68.4262
81.0,-74.095795,81.0,-58.45552,81.0,-68.81721
81.600006,-74.682304,81.600006,-59.04203,81.600006,-68.4262
82.2,-74.2913,82.2,-60.215057,82.2,-68.81721
82.799995,-71.55425,82.799995,-60.99707,82.799995,-70.96774
83.4,-70.57674,83.4,-60.606064,83.4,-71.749756
84.0,-70.18573,84.0,-59.628548,84.0,-72.72727
84.6,-69.20821,84.6,-59.433044,84.6,-73.31378
85.200005,-68.81721,85.200005,-59.237534,85.200005,-74.095795
85.8,-62.952103,85.8,-61.974586,85.8,-77.22385
86.399994,-50.244377,86.399994,-57.673508,86.399994,-89.73607
87.0,-1.9550343,87.0,-18.96383,87.0,-129.42326
87.6,-0.9775171,87.6,-21.11437,87.6,-130.00977
88.2,-0.9775171,88.2,-17.790812,88.2,-130.00977
88.8,-0.9775171,88.8,-0.9775171,88.8,-115.933525
89.4,-0.58651024,89.4,-0.78201365,89.4,-80.351906
90.0,-0.9775171,90.0,-0.78201365,90.0,-47.116325
90.6,-49.26686,90.6,-0.9775171,90.6,-0.9775171
91.2,-59.04203,91.2,-0.78201365,91.2,-0.78201365
91.799995,-63.538612,91.799995,-0.9775171,91.799995,-1.5640273
92.4,-62.365593,92.4,-19.354837,92.4,-17.204302
93.0,-63.34311,93.0,-32.844578,93.0,-23.264908
93.6,-66.66667,93.6,-51.808403,93.6,-30.694038
94.200005,-67.05768,94.200005,-58.260017,94.200005,-33.235584
