xAxis.x,xAxis.y,yAxis.x,yAxis.y,zAxis.x,zAxis.y
0.0,-178.49461,0.0,-143.695,0.0,-144.67253
0.6,-178.49461,0.6,-143.695,0.6,-144.67253
1.2,-177.3216,1.2,-145.45454,1.2,-144.67253
1.8000001,-177.3216,1.8000001,-145.45454,1.8000001,-144.67253
2.4,-191.78885,2.4,-160.3128,2.4,-155.03421
3.0,-191.78885,3.0,-160.3128,3.0,-155.03421
3.6000001,-175.95308,3.6000001,-143.89052,3.6000001,-146.43207
4.2000003,-175.95308,4.2000003,-143.89052,4.2000003,-146.43207
4.8,-176.14857,4.8,-144.28152,4.8,-146.23656
5.3999996,-178.1036,5.3999996,-146.43207,5.3999996,-145.25905
6.0,-178.1036,6.0,-146.43207,6.0,-145.25905
6.6,-178.1036,6.6,-146.43207,6.6,-145.25905
7.2000003,-178.1036,7.2000003,-146.43207,7.2000003,-145.25905
7.8,-176.93059,7.8,-145.25905,7.8,-145.84555
8.400001,-176.93059,8.400001,-145.25905,8.400001,-145.84555
9.0,-177.3216,9.0,-144.86804,9.0,-144.86804
9.6,-178.1036,9.6,-144.67253,9.6,-144.47704
10.200001,-178.1036,10.200001,-144.67253,10.200001,-144.47704
10.799999,-185.53275,10.799999,-159.7263,10.799999,-156.40274
11.4,-185.53275,11.4,-159.7263,11.4,-156.40274
12.0,-185.53275,12.0,-159.7263,12.0,-156.40274
12.599999,-177.7126,12.599999,-143.695,12.599999,-144.67253
13.2,-172.43402,13.2,-144.67253,13.2,-149.36461
13.8,-173.41153,13.8,-145.06354,13.8,-145.45454
14.400001,-172.82503,14.400001,-141.54448,14.400001,-146.04106
15.0,-179.08113,15.0,-144.28152,15.0,-143.89052
15.6,-176.53958,15.6,-143.304,15.6,-145.65005
16.2,-177.3216,16.2,-145.25905,16.2,-144.67253
16.800001,-177.3216,16.800001,-145.25905,16.800001,-144.67253
17.4,-177.3216,17.4,-145.25905,17.4,-144.67253
18.0,-177.3216,18.0,-145.25905,18.0,-144.67253
18.6,-177.7126,18.6,-144.47704,18.6,-144.86804
19.2,-180.05864,19.2,-144.08603,19.2,-144.67253
19.8,-179.08113,19.8,-145.84555,19.8,-145.25905
20.400002,-179.08113,20.400002,-145.06354,20.400002,-145.45454
21.0,-187.68329,21.0,-151.51515,21.0,-153.47018
21.599998,-178.1036,21.599998,-144.86804,21.599998,-145.06354
22.2,-178.1036,22.2,-144.86804,22.2,-145.06354
22.8,-176.73509,22.8,-143.304,22.8,-147.01857
23.4,-176.73509,23.4,-143.304,23.4,-147.01857
24.0,-177.3216,24.0,-145.06354,24.0,-147.01857
24.6,-179.47214,24.6,-144.28152,24.6,-144.67253
25.199999,-174.97556,25.199999,-144.86804,25.199999,-145.45454
25.800001,-177.3216,25.800001,-144.08603,25.800001,-145.45454
26.4,-177.3216,26.4,-144.08603,26.4,-145.45454
27.000002,-177.3216,27.000002,-144.08603,27.000002,-145.45454
27.6,-177.3216,27.6,-144.08603,27.6,-145.45454
28.199999,-178.69012,28.199999,-145.25905,28.199999,-147.21408
28.800001,-180.44965,28.800001,-144.08603,28.800001,-123.94917
29.4,-180.44965,29.4,-144.08603,29.4,-123.94917
30.0,-180.44965,30.0,-144.08603,30.0,-123.94917
30.599998,-175.36656,30.599998,-144.28152,30.599998,-149.95113
31.2,-175.36656,31.2,-144.28152,31.2,-149.95113
31.8,-183.96872,31.8,-143.1085,31.8,-146.43207
32.4,-180.25415,32.4,-144.67253,32.4,-143.89052
33.0,-179.86314,33.0,-142.7175,33.0,-146.62756
33.600002,-179.86314,33.600002,-142.7175,33.600002,-146.62756
34.2,-182.01369,34.2,-143.49951,34.2,-156.20723
34.8,-182.01369,34.8,-143.49951,34.8,-156.20723
35.4,-182.2092,35.4,-143.89052,35.4,-137.63441
36.0,-182.2092,36.0,-143.89052,36.0,-137.63441
36.600002,-173.99805,36.600002,-143.49951,36.600002,-141.54448
37.2,-177.5171,37.2,-145.45454,37.2,-140.56696
37.8,-177.5171,37.8,-145.45454,37.8,-140.56696
38.4,-177.5171,38.4,-145.45454,38.4,-140.56696
39.0,-177.5171,39.0,-145.45454,39.0,-140.56696
39.6,-181.42719,39.6,-145.84555,39.6,-139.00293
40.2,-181.42719,40.2,-145.84555,40.2,-139.00293
40.800003,-175.95308,40.800003,-145.25905,40.800003,-146.82307
41.399998,-175.95308,41.399998,-145.25905,41.399998,-146.82307
