xAxis.x,xAxis.y,yAxis.x,yAxis.y,zAxis.x,zAxis.y
0.0,-179.08113,0.0,-144.86804,0.0,-145.45454
0.6,-179.08113,0.6,-144.86804,0.6,-145.45454
1.2,-178.69012,1.2,-145.45454,1.2,-145.84555
1.8000001,-178.69012,1.8000001,-145.45454,1.8000001,-145.84555
2.4,-178.88562,2.4,-145.84555,2.4,-144.86804
3.0,-178.88562,3.0,-145.84555,3.0,-144.86804
3.6000001,-178.1036,3.6000001,-144.67253,3.6000001,-145.06354
4.2000003,-175.75757,4.2000003,-143.695,4.2000003,-146.04106
4.8,-175.75757,4.8,-143.695,4.8,-146.04106
5.3999996,-175.75757,5.3999996,-143.695,5.3999996,-146.04106
6.0,-179.08113,6.0,-146.23656,6.0,-145.45454
6.6,-179.08113,6.6,-146.23656,6.6,-145.45454
7.2000003,-196.48094,7.2000003,-155.03421,7.2000003,-153.86119
7.8,-177.5171,7.8,-144.08603,7.8,-144.67253
8.400001,-177.5171,8.400001,-144.08603,8.400001,-144.67253
9.0,-177.5171,9.0,-143.695,9.0,-143.89052
9.6,-178.88562,9.6,-145.25905,9.6,-145.06354
10.200001,-178.88562,10.200001,-145.25905,10.200001,-145.06354
10.799999,-179.86314,10.799999,-146.04106,10.799999,-145.06354
11.4,-178.49461,11.4,-145.65005,11.4,-146.62756
12.0,-178.49461,12.0,-145.65005,12.0,-146.62756
12.599999,-178.69012,12.599999,-144.86804,12.599999,-145.84555
13.2,-178.1036,13.2,-145.65005,13.2,-145.65005
13.8,-178.1036,13.8,-145.65005,13.8,-145.65005
14.400001,-178.88562,14.400001,-146.04106,14.400001,-145.06354
15.0,-178.88562,15.0,-146.04106,15.0,-145.06354
15.6,-180.64516,15.6,-144.47704,15.6,-145.45454
16.2,-180.64516,16.2,-144.47704,16.2,-145.45454
16.800001,-180.64516,16.800001,-144.47704,16.800001,-145.45454
17.4,-180.64516,17.4,-144.47704,17.4,-145.45454
18.0,-180.64516,18.0,-144.47704,18.0,-145.45454
18.6,-178.1036,18.6,-144.08603,18.6,-144.28152
19.2,-178.1036,19.2,-144.08603,19.2,-144.28152
19.8,-177.5171,19.8,-143.695,19.8,-144.47704
20.400002,-177.90811,20.400002,-144.08603,20.400002,-145.06354
21.0,-177.90811,21.0,-144.08603,21.0,-145.06354
21.599998,-177.7126,21.599998,-144.47704,21.599998,-146.62756
22.2,-178.1036,22.2,-144.47704,22.2,-145.06354
22.8,-178.1036,22.8,-144.47704,22.8,-145.06354
23.4,-179.66763,23.4,-145.06354,23.4,-144.86804
24.0,-184.55524,24.0,-150.14662,24.0,-156.98926
24.6,-184.55524,24.6,-150.14662,24.6,-156.98926
