xAxis.x,xAxis.y,yAxis.x,yAxis.y,zAxis.x,zAxis.y
0.0,-126.29521,0.0,-100.29326,0.0,-100.488754
0.6,-126.29521,0.6,-100.29326,0.6,-100.488754
1.2,-126.29521,1.2,-100.29326,1.2,-100.488754
1.8000001,-126.29521,1.8000001,-100.29326,1.8000001,-100.488754
2.4,-126.29521,2.4,-100.29326,2.4,-100.488754
3.0,-126.29521,3.0,-100.29326,3.0,-100.488754
3.6000001,-126.09971,3.6000001,-100.09775,3.6000001,-100.29326
4.2000003,-126.09971,4.2000003,-100.09775,4.2000003,-100.29326
4.8,-126.29521,4.8,-100.09775,4.8,-100.29326
5.3999996,-126.29521,5.3999996,-100.09775,5.3999996,-100.29326
6.0,-126.29521,6.0,-100.09775,6.0,-100.29326
6.6,-126.29521,6.6,-100.09775,6.6,-100.09775
7.2000003,-126.29521,7.2000003,-100.09775,7.2000003,-100.09775
7.8,-126.09971,7.8,-100.09775,7.8,-100.09775
8.400001,-126.09971,8.400001,-100.09775,8.400001,-100.09775
9.0,-126.09971,9.0,-100.09775,9.0,-100.29326
9.6,-126.09971,9.6,-100.09775,9.6,-100.29326
10.200001,-126.490715,10.200001,-100.29326,10.200001,-100.29326
10.799999,-126.29521,10.799999,-100.29326,10.799999,-100.488754
11.4,-126.29521,11.4,-100.29326,11.4,-100.488754
12.0,-126.29521,12.0,-100.29326,12.0,-100.488754
12.599999,-126.29521,12.599999,-100.09775,12.599999,-100.488754
13.2,-126.29521,13.2,-100.09775,13.2,-100.488754
13.8,-126.29521,13.8,-100.09775,13.8,-100.488754
14.400001,-126.29521,14.400001,-100.09775,14.400001,-100.488754
15.0,-126.490715,15.0,-100.29326,15.0,-100.29326
15.6,-126.29521,15.6,-100.29326,15.6,-100.488754
16.2,-126.29521,16.2,-100.29326,16.2,-100.488754
16.800001,-126.29521,16.800001,-100.29326,16.800001,-100.488754
17.4,-126.29521,17.4,-100.29326,17.4,-100.488754
18.0,-126.68622,18.0,-100.09775,18.0,-100.29326
18.6,-126.29521,18.6,-100.29326,18.6,-100.29326
